index,Casco ID,Makelaarsnaam,Plaats,Provincie,Postcode,Huisnr.,Contactpersoon,Emailadres,Branche,KA,Datum akkoord,Maand akkoord,Zelf aangemeld?,Bron,Accountmanager Auto-fill,Gekoppeld door,KA gekoppeld,Aanbod online,Huislijn uitgesloten,Uitbehandeld RB, Agent Pages status,Akkoord AV,RB contactmoment,Linkje gevraagd?,Linkjes actief,Datum link online,Link vermelding,Link bestemming,OPMERKINGEN
0,55106,AlleeWonen Makelaardij Breda,BREDA,Noord-Brabant,4811BH,200,,info@alleewonenmakelaardij.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Jelle,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,Ja,Ja DvD,26-3-2018,http://www.alleewonenmakelaardij.nl/,https://www.pararius.nl/,
1,52267,Hero Makelaardij,Rotterdam,Zuid-Holland,3011BS,32,,info@heromakelaardij.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,JP,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,Ja,Ja DvD,3-4-2018,http://www.heromakelaardij.nl/,https://www.pararius.nl/,
2,57028,Jess Makelaardij,Nieuwleusen,Overijssel,7711VR,37,,info@jessmakelaardij.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Philip,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
3,57478,Aan water wonen,HEEMSTEDE,Noord-Holland,2102CT,69,,info@aanwaterwonen.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,JP,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
4,50224,Aarnoutse Makelaardij Drechtstreek,DORDRECHT,Zuid-Holland,3311PM,39,,info@aarnoutsemakelaardij.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Jelle,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
5,60154,Aarnoutse Makelaardij Halderberge B.V.,BOSSCHENHOOFD,Noord-Brabant,4744BD,nan,,receptie@aarnoutsemakelaardij.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Jelle,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
6,49228,AB&P Vaassen Makelaardij,Roermond,Limburg,6041KX,nan,,info@vaassen.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Jelle,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
7,51039,Adriaanse makelaar taxateur o.z.,ZOUTELANDE,Zeeland,4374CA,50,,adrmak@zeelandnet.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Jelle,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
8,50815,Agrarische Makelaardij / Makelaardij van der Zee,Oranjewoud,Friesland,8453XC,41,,info@jvanderzee.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,JP,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
9,51193,Agrarische Makelaardij Jouwert de Vries,STIENS,Friesland,9051LE,15,,info@jouwertdevries.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,JP,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
10,52641,Agrarische Makelaardij Kloosterboer,WESEPE,Overijssel,8124PP,2b,,info@makelaardijkloosterboer.nl ,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Philip,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
11,60107,Landelijk wonen Fryslan,LEEUWARDEN,Friesland,8932PA,nan,,fryslan@landelijk-wonen.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,JP,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
12,49719,AgriTeam Makelaars Oost-Overijssel B.V.,BRUINEHAAR,Overijssel,7675TB,17,,vriezenveen@agriteam.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Philip,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
13,57479,Agrivesta Bijlsma BV,GERKESKLOOSTER,Friesland,9873TC,nan,,bijlsma@agrivesta.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,JP,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
14,53702,Agrivesta Houtman Makelaardij en Onteigening,EELDE,Drenthe,6673DN,nan,,houtman@agrivesta.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,JP,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
15,51146,Agrivesta Huijbregts,DRONTEN,Flevoland,8250AE,230,,huijbregts@agrivesta.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,JP,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
16,57480,Agrivesta Stap,ANDELST,Gelderland,6673DN,nan,,delorijn@agrivesta.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Philip,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
17,57481,Agrivesta Turkstra,HOUTIGEHAGE,Friesland,9223LE,78,,turkstra@agrivesta.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,JP,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
18,60136,Agrivesta Weenink B.V.,ZEVENAAR,Gelderland,7005BK,nan,,weenink@agrivesta.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Philip,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
19,53514,Alard van der Varst Makelaars & Taxateurs o.z.,MAASTRICHT,Limburg,6041NZ,25,,info@alardvandervarst.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Jelle,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
20,60897,AlleeWonen Makelaardij Roosendaal,ROOSENDAAL,Noord-Brabant,4701BL,50,,info@alleewonenmakelaardij.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Jelle,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
21,57482,Allure Makelaardij,LINNE,Limburg,6067BP,23,,info@allure-makelaardij.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Jelle,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
22,49384,Anders Vastgoed,OOSTBURG,Zeeland,4501AP,nan,,makelaar@andersvastgoed.eu,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Jelle,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
23,52607,Anna de Graaff Taxatie & Vastgoedadvies,OPPERDOES,Noord-Holland,1674NK,10,,,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,JP,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
24,53811,Annie Tros Makelaardij,HOOFDDORP,Noord-Holland,2135CP,64,,info@annietrosmakelaardij.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,JP,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
25,50582,Arkus rentmeesters & makelaars,ROOSENDAAL,Noord-Brabant,4703RC,15,,info@arkus.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Jelle,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
26,57484,Art of Living by Marquiette BV,BLARICUM,Noord-Holland,1261EL,2D,,hello@artoflivingbymar.com,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,JP,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
27,52663,Audry Klinkers Makelaardij,JABEEK,Limburg,6454BA,nan,,info@klinkersmakelaardij.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Jelle,Jelle,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
28,49544,Baarslag Makelaardij,ZWOLLE,Overijssel,8016AV,80,,info@baarslagmakelaardij.nl,VastgoedPRo,Skarabee,01-05-2017,mei-2017,Nee,Koppeling,Philip,JP,✓,Ja compleet,Ja,Ja actief en compleet,,,,,,,,,
